	12500	12500	
(30, 12, 0, 0)	1	1	0	
(4, 27, 30, 1)	1	0	-1	
(23, 30, 18, 7)	2	2	0	
(27, 3, 21, 30)	7	22	15	
(17, 16)	2	4	2	
(30, 0, 18, 0)	2	1	-1	
(23, 21, 30, 17)	6	8	2	
(4, 30, 21, 14)	6	11	5	
(28, 19, 30, 17)	1	0	-1	
(30, 22, 8, 30)	2	0	-2	
(4, 0, 30, 2)	1	7	6	
(15, 30, 14, 30)	4	5	1	
(0, 22, 30, 13)	0	1	1	
(18, 0, 4, 19)	0	1	1	
(11, 13, 30)	0	1	1	
(30, 0, 21, 30)	380	377	-3	
(13, 12, 30, 5)	0	1	1	
(14, 17, 30, 19)	0	3	3	
(17, 20, 30, 0)	1	0	-1	
(3, 21, 17, 21)	0	2	2	
(21, 21, 30, 12)	109	100	-9	
(22, 30, 3, 12)	1	1	0	
(21, 30, 5)	1582	1526	-56	
(30, 9, 3)	31	79	48	
(25, 13, 30, 17)	1	0	-1	
(0, 21, 21, 12)	2	1	-1	
(6, 3, 30, 1)	1	0	-1	
(10, 3, 30, 4)	2	0	-2	
(11, 30, 4, 18)	1	0	-1	
(17, 15, 30, 3)	2	1	-1	
(21, 1, 27)	1	0	-1	
(3, 18, 30, 2)	3	3	0	
(4, 30, 4, 22)	6	2	-4	
(30, 4, 2, 21)	2	1	-1	
(30, 22, 21, 18)	2	1	-1	
(27, 1, 5)	1	0	-1	
(24, 30, 17, 18)	1	0	-1	
(10, 7, 30, 17)	1	0	-1	
(14, 30, 3, 8)	1	0	-1	
(12, 30, 3, 18)	6	12	6	
(30, 4, 30, 8)	153	141	-12	
(4, 30, 6)	220	314	94	
(30, 27, 3, 17)	3	6	3	
(3, 27, 14)	0	1	1	
(30, 27, 4, 21)	1	5	4	
(24, 21, 30, 21)	5	10	5	
(30, 0, 7, 30)	7	21	14	
(30, 1, 21)	592	136	-456	
(12, 3, 30, 4)	2	4	2	
(24, 2, 30, 12)	1	0	-1	
(27, 30, 13, 21)	2	1	-1	
(4, 17, 18, 30)	3	5	2	
(0, 3, 12, 0)	2	0	-2	
(11, 25, 21, 30)	0	1	1	
(3, 17, 5, 4)	1	0	-1	
(14, 22)	4	6	2	
(25, 12, 30, 21)	1	3	2	
(18, 0, 9)	0	1	1	
(17, 5, 17)	2	3	1	
(24, 30, 3, 2)	0	1	1	
(30, 28, 4, 30)	12	19	7	
(30, 26, 17, 10)	1	0	-1	
(5, 21, 4)	0	1	1	
(26, 25, 30, 21)	0	1	1	
(4, 21, 13, 30)	3	1	-2	
(30, 5, 30, 18)	92	127	35	
(30, 19, 1, 30)	5	0	-5	
(30, 17, 24, 0)	0	1	1	
(18, 30, 21, 28)	1	0	-1	
(1, 30, 12, 17)	5	2	-3	
(25, 19, 2)	1	0	-1	
(8, 4, 12, 18)	1	0	-1	
(27, 8, 30, 27)	1	0	-1	
(30, 12, 18, 11)	0	2	2	
(18, 30, 9, 9)	1	0	-1	
(4, 21, 30, 11)	12	12	0	
(27, 30, 11, 12)	0	1	1	
(3, 27, 25, 30)	0	1	1	
(0, 3, 30, 20)	1	2	1	
(14, 30, 0, 4)	0	2	2	
(30, 3, 14, 12)	0	3	3	
(13, 30, 3, 17)	9	4	-5	
(4, 18, 30, 4)	13	8	-5	
(30, 9, 17, 0)	1	3	2	
(3, 21, 5, 25)	0	1	1	
(5, 10, 3)	0	1	1	
(15, 30, 15, 17)	6	10	4	
(30, 0, 0, 22)	1	0	-1	
(30, 8, 4, 12)	3	1	-2	
(16, 3, 21, 14)	0	1	1	
(2, 30, 2, 21)	9	15	6	
(6, 8)	2	2	0	
(1, 3, 30, 5)	8	1	-7	
(18, 30, 4, 4)	5	9	4	
(12, 3, 21)	18	17	-1	
(7, 25, 17, 0)	0	1	1	
(10, 30, 13, 30)	2	6	4	
(17, 2, 30, 12)	5	2	-3	
(2, 30, 22, 0)	0	1	1	
(19, 30, 7, 27)	1	1	0	
(22, 30, 2, 19)	0	1	1	
(4, 30, 17)	2032	1952	-80	
(13, 21, 30, 8)	1	0	-1	
(3, 27, 25)	0	1	1	
(30, 17, 30, 1)	689	220	-469	
(14, 12, 3)	0	1	1	
(4, 30, 19, 18)	3	2	-1	
(30, 9, 30, 23)	0	14	14	
(1, 3, 21, 25)	1	0	-1	
(13, 30, 10, 30)	5	8	3	
(21, 22, 4)	0	1	1	
(21, 7, 27, 21)	0	1	1	
(30, 1, 2)	119	25	-94	
(30, 8, 3, 27)	1	0	-1	
(13, 30, 17, 5)	0	1	1	
(30, 26, 30, 2)	21	16	-5	
(7, 21, 30, 18)	6	10	4	
(0, 3, 0, 2)	2	2	0	
(2, 30, 17, 15)	1	0	-1	
(3, 3, 30, 5)	1	0	-1	
(5, 30, 12, 18)	5	3	-2	
(18, 0, 0)	1	4	3	
(10, 30, 27, 30)	8	7	-1	
(12, 13, 30, 6)	1	1	0	
(22, 22, 18)	0	2	2	
(24, 0, 30)	1	2	1	
(22, 30, 12, 30)	74	102	28	
(12, 10, 30, 1)	1	0	-1	
(3, 8, 30)	7	2	-5	
(4, 30, 17, 15)	2	0	-2	
(12, 21, 3, 30)	3	0	-3	
(9, 19, 30, 12)	1	0	-1	
(21, 13, 30, 19)	1	0	-1	
(23, 30, 3, 3)	0	1	1	
(26, 23, 30, 23)	0	1	1	
(30, 22, 22, 4)	2	2	0	
(25, 1, 4, 30)	3	0	-3	
(30, 5, 3, 26)	0	1	1	
(18, 8, 30)	10	17	7	
(18, 9, 30, 1)	1	0	-1	
(24, 0, 4)	1	0	-1	
(0, 14)	3	18	15	
(27, 2, 30, 19)	1	0	-1	
(18, 2, 30, 2)	0	1	1	
(6, 30, 18, 11)	3	1	-2	
(18, 30, 8, 10)	2	1	-1	
(3, 12, 4)	1	1	0	
(7, 19, 30, 7)	2	5	3	
(24, 30, 9, 30)	2	3	1	
(10, 30, 1, 4)	11	1	-10	
(30, 8, 12, 21)	3	0	-3	
(2, 30, 26, 2)	0	1	1	
(25, 11, 3)	0	1	1	
(30, 1, 26, 30)	3	0	-3	
(30, 22, 4, 17)	0	1	1	
(1, 6, 30, 6)	0	1	1	
(12, 16, 30)	0	1	1	
(25, 30, 18, 1)	7	5	-2	
(25, 6, 30, 12)	2	0	-2	
(1, 1, 0)	1	0	-1	
(4, 17)	1098	1037	-61	
(23, 30, 1, 6)	0	1	1	
(30, 1, 11)	4	0	-4	
(20, 21, 5)	3	1	-2	
(30, 4, 1, 2)	1	1	0	
(13, 30, 21, 3)	2	0	-2	
(3, 21, 27, 18)	1	0	-1	
(21, 9, 30, 22)	1	0	-1	
(10, 30, 12, 17)	3	2	-1	
(30, 0, 23, 16)	1	0	-1	
(2, 30, 21, 21)	19	13	-6	
(10, 21, 17, 12)	1	0	-1	
(26, 17, 30, 10)	0	1	1	
(6, 24, 30)	0	2	2	
(6, 0, 30, 0)	1	0	-1	
(21, 27, 17)	1	1	0	
(22, 17)	69	76	7	
(30, 12, 27)	7	8	1	
(15, 30, 21, 25)	1	0	-1	
(30, 0, 30, 10)	36	97	61	
(0, 9, 30, 3)	2	7	5	
(3, 21, 30, 7)	95	109	14	
(25, 30, 0, 21)	3	6	3	
(21, 14, 3)	1	1	0	
(30, 25, 13)	2	0	-2	
(23, 21, 30, 10)	2	3	1	
(9, 21, 21, 30)	2	5	3	
(24, 17, 30, 19)	0	1	1	
(17, 24, 0, 30)	0	1	1	
(0, 30, 22, 21)	14	16	2	
(21, 21, 10, 30)	2	1	-1	
(10, 12)	15	15	0	
(5, 30, 2, 17)	1	1	0	
(11, 30, 13, 30)	9	4	-5	
(25, 23, 21, 30)	0	1	1	
(22, 30, 19)	43	43	0	
(27, 18, 6)	1	3	2	
(5, 25, 30, 3)	11	8	-3	
(23, 30, 8, 21)	0	1	1	
(25, 30, 17, 19)	2	0	-2	
(26, 5, 30, 9)	0	1	1	
(24, 27, 30)	0	1	1	
(21, 19, 30, 19)	1	1	0	
(20, 30, 17, 7)	0	1	1	
(18, 30, 12, 8)	0	1	1	
(10, 1, 30, 25)	1	0	-1	
(0, 21, 21)	28	12	-16	
(25, 30, 14, 3)	0	1	1	
(12, 7, 8, 30)	1	0	-1	
(30, 1, 18, 1)	3	0	-3	
(1, 1, 27)	1	0	-1	
(3, 30, 9, 17)	3	4	1	
(7, 19, 21, 17)	1	0	-1	
(12, 9, 3, 21)	1	2	1	
(12, 27, 30, 21)	2	0	-2	
(20, 7, 30, 21)	1	0	-1	
(7, 8, 30, 21)	11	5	-6	
(12, 18, 7, 30)	19	12	-7	
(21, 30, 19, 24)	0	1	1	
(25, 30, 7, 11)	0	1	1	
(5, 30, 4, 30)	165	175	10	
(0, 4, 30, 21)	50	82	32	
(21, 20, 30, 21)	0	1	1	
(3, 21, 15, 30)	2	2	0	
(25, 30, 19, 30)	88	116	28	
(11, 30, 7, 4)	5	1	-4	
(7, 3, 30, 22)	2	3	1	
(21, 7, 30, 4)	5	11	6	
(30, 12, 18)	417	341	-76	
(3, 19, 17)	1	0	-1	
(30, 0, 2, 24)	0	1	1	
(1, 23, 30, 21)	0	2	2	
(0, 3, 17, 4)	1	1	0	
(2, 30, 0, 27)	0	1	1	
(12, 30, 27)	107	113	6	
(10, 21, 30, 4)	9	10	1	
(6, 5, 30, 7)	2	3	1	
(17, 1, 30, 5)	4	0	-4	
(3, 30, 7, 16)	0	1	1	
(18, 30, 21, 3)	8	9	1	
(20, 10)	1	0	-1	
(18, 30, 12, 25)	2	1	-1	
(2, 24, 30, 21)	1	1	0	
(30, 22, 30, 0)	140	374	234	
(5, 30, 18, 30)	71	110	39	
(30, 14, 30, 10)	4	3	-1	
(18, 8, 8)	2	5	3	
(25, 30, 1, 30)	124	24	-100	
(23, 7, 30, 4)	1	0	-1	
(22, 30, 26)	4	15	11	
(30, 19, 6, 19)	1	0	-1	
(19, 21, 30, 15)	3	0	-3	
(21, 30, 25, 2)	0	2	2	
(25, 30, 13, 17)	3	9	6	
(0, 1, 30, 3)	2	0	-2	
(12, 17, 30, 12)	11	9	-2	
(0, 24, 30, 24)	0	1	1	
(3, 30, 12, 11)	4	1	-3	
(23, 12, 18)	1	0	-1	
(25, 19, 2, 30)	1	0	-1	
(6, 2, 21)	4	2	-2	
(0, 21, 14)	2	2	0	
(10, 2, 21, 30)	1	0	-1	
(25, 0, 11, 30)	0	1	1	
(21, 10, 30, 21)	3	12	9	
(1, 1, 18)	3	0	-3	
(19, 21, 17, 0)	1	0	-1	
(5, 15, 30, 3)	2	3	1	
(25, 1, 30, 18)	1	0	-1	
(30, 0, 11, 3)	2	1	-1	
(17, 21, 14)	0	1	1	
(2, 12, 30, 2)	2	1	-1	
(26, 30, 17, 25)	0	3	3	
(18, 30, 11, 21)	0	2	2	
(10, 30, 4, 21)	17	12	-5	
(18, 13, 30, 3)	19	8	-11	
(19, 18, 30, 17)	2	2	0	
(12, 16)	0	3	3	
(21, 12, 1, 4)	1	0	-1	
(30, 3, 25, 5)	1	1	0	
(3, 4, 12)	2	0	-2	
(4, 0, 3, 30)	0	5	5	
(26, 17, 6, 30)	0	1	1	
(11, 0, 30, 3)	1	0	-1	
(11, 30, 3, 2)	1	0	-1	
(30, 24, 30, 25)	25	23	-2	
(15, 25, 30, 17)	1	0	-1	
(1, 30, 28)	9	2	-7	
(18, 6, 30, 0)	1	2	1	
(3, 30, 10, 4)	3	0	-3	
(6, 30, 7, 8)	1	0	-1	
(21, 27, 7)	0	1	1	
(30, 12, 5)	3	3	0	
(21, 0, 7, 4)	0	1	1	
(4, 11, 30, 11)	0	1	1	
(3, 17, 28, 30)	0	3	3	
(4, 19, 10, 30)	0	1	1	
(5, 30, 17, 22)	0	2	2	
(7, 30, 12, 30)	163	142	-21	
(21, 30, 16, 21)	5	2	-3	
(1, 2, 30, 12)	6	0	-6	
(21, 14, 21)	2	2	0	
(4, 24, 30, 6)	3	0	-3	
(30, 25, 19)	9	3	-6	
(21, 2, 30, 7)	2	3	1	
(21, 26, 30, 17)	1	1	0	
(26, 21, 21, 30)	1	1	0	
(30, 2, 16, 30)	0	2	2	
(10, 30, 18, 1)	4	0	-4	
(17, 28, 30, 12)	1	0	-1	
(25, 5, 30, 21)	4	4	0	
(17, 4, 30, 10)	2	2	0	
(3, 12, 30, 12)	10	7	-3	
(6, 11, 30, 5)	0	1	1	
(21, 1, 4, 30)	10	0	-10	
(22, 30, 1)	129	26	-103	
(30, 27, 30, 3)	317	322	5	
(30, 4, 19)	33	19	-14	
(25, 17, 18, 30)	1	0	-1	
(0, 30, 21, 10)	0	1	1	
(30, 1, 17, 17)	4	1	-3	
(19, 0, 30, 22)	0	2	2	
(21, 13, 17, 30)	8	7	-1	
(16, 27, 21)	1	0	-1	
(30, 28, 30, 28)	7	17	10	
(30, 17, 5)	144	204	60	
(3, 17, 30, 13)	2	7	5	
(5, 30, 19, 21)	7	4	-3	
(0, 21, 7)	2	2	0	
(15, 15, 30, 28)	0	1	1	
(30, 19, 19, 21)	2	3	1	
(3, 9, 30, 7)	1	0	-1	
(20, 21, 30, 22)	1	1	0	
(8, 10, 10, 30)	0	1	1	
(25, 30, 6, 7)	0	1	1	
(22, 30, 7, 21)	6	3	-3	
(18, 0, 30, 25)	15	25	10	
(5, 18, 0)	1	0	-1	
(20, 30, 0, 3)	3	0	-3	
(18, 30, 27, 2)	1	0	-1	
(17, 21, 1)	13	3	-10	
(23, 1, 3)	2	0	-2	
(22, 10)	3	0	-3	
(21, 1, 22, 30)	5	1	-4	
(21, 12, 30, 18)	7	15	8	
(25, 16, 30)	0	1	1	
(12, 0, 30, 3)	26	12	-14	
(9, 21, 30, 2)	0	1	1	
(2, 17, 30, 15)	0	1	1	
(3, 30, 6, 2)	3	3	0	
(5, 10, 30, 1)	0	1	1	
(22, 17, 30, 18)	1	1	0	
(18, 7, 25)	2	1	-1	
(2, 2, 30, 2)	10	9	-1	
(19, 4, 30, 11)	2	0	-2	
(10, 1, 4, 30)	1	1	0	
(5, 30, 21, 12)	12	5	-7	
(26, 17, 10)	1	0	-1	
(19, 28, 30, 21)	0	2	2	
(22, 21, 1, 22)	1	0	-1	
(19, 8, 30)	2	1	-1	
(21, 12, 15, 18)	0	1	1	
(30, 6, 30, 21)	471	630	159	
(30, 18, 28, 3)	0	2	2	
(28, 25)	1	2	1	
(30, 1, 1, 4)	6	1	-5	
(22, 30, 8)	10	15	5	
(27, 3, 12, 30)	1	1	0	
(21, 30, 17, 14)	0	1	1	
(30, 4, 26)	1	0	-1	
(24, 0, 30, 17)	1	0	-1	
(28, 30, 4, 17)	1	1	0	
(17, 10, 30, 0)	1	1	0	
(30, 17, 18)	183	177	-6	
(25, 19, 30, 17)	1	1	0	
(19, 0, 4)	3	4	1	
(27, 30, 12, 17)	3	2	-1	
(10, 1, 30, 4)	1	0	-1	
(12, 21, 21, 17)	1	0	-1	
(30, 1, 30, 11)	25	7	-18	
(22, 21, 22)	1	0	-1	
(30, 9, 2, 21)	1	0	-1	
(16, 12)	1	3	2	
(21, 24, 30)	12	5	-7	
(19, 1)	14	1	-13	
(4, 17, 1)	15	2	-13	
(30, 18, 30, 14)	16	18	2	
(3, 12, 30, 24)	1	1	0	
(9, 1, 30, 0)	1	0	-1	
(26, 12, 30, 17)	1	1	0	
(30, 10, 30, 8)	21	26	5	
(15, 30, 12, 25)	2	0	-2	
(0, 15, 30, 5)	1	0	-1	
(3, 27, 30, 1)	11	0	-11	
(8, 30, 26, 30)	4	7	3	
(30, 25, 3, 17)	22	32	10	
(30, 23, 18, 7)	0	1	1	
(1, 2, 17, 30)	2	0	-2	
(27, 19, 30, 17)	1	2	1	
(4, 3, 30, 24)	0	1	1	
(0, 4, 30, 14)	1	4	3	
(1, 30, 14)	17	3	-14	
(3, 30, 2, 0)	1	1	0	
(3, 16, 17, 30)	1	0	-1	
(21, 12, 10, 30)	1	1	0	
(18, 7, 18)	0	6	6	
(30, 18, 25, 25)	1	0	-1	
(2, 30, 12, 13)	0	1	1	
(12, 18, 30, 5)	2	3	1	
(0, 10, 18)	0	2	2	
(14, 0, 2)	0	1	1	
(0, 4, 21, 12)	2	1	-1	
(28, 7, 17)	0	1	1	
(9, 3, 30, 2)	0	1	1	
(1, 21, 30, 16)	2	0	-2	
(17, 12, 30, 27)	2	1	-1	
(6, 3, 30, 0)	4	2	-2	
(4, 1, 12, 30)	1	0	-1	
(25, 21, 30, 26)	3	3	0	
(9, 6, 6, 30)	2	0	-2	
(30, 19, 30, 28)	38	38	0	
(2, 30, 7, 30)	80	110	30	
(30, 11, 30, 22)	13	20	7	
(1, 6, 4)	0	1	1	
(21, 30, 21, 4)	25	25	0	
(7, 4, 30, 6)	6	3	-3	
(30, 4, 13)	4	4	0	
(18, 10, 30, 6)	1	0	-1	
(3, 30, 0, 1)	1	0	-1	
(30, 12, 30, 17)	1291	1175	-116	
(0, 3, 17, 21)	0	1	1	
(30, 17, 27)	10	11	1	
(7, 3, 30, 1)	2	0	-2	
(21, 30, 10, 10)	1	4	3	
(18, 0)	980	1765	785	
(23, 18, 7)	0	1	1	
(30, 15, 21, 0)	0	1	1	
(18, 0, 22, 21)	1	0	-1	
(0, 22, 0, 2)	0	1	1	
(21, 0, 3, 30)	16	18	2	
(8, 12, 30, 11)	0	1	1	
(1, 1, 30, 5)	1	0	-1	
(17, 21, 19)	1	1	0	
(21, 1, 30, 10)	1	0	-1	
(25, 1, 30, 15)	1	0	-1	
(1, 23)	11	10	-1	
(26, 30, 17, 4)	1	0	-1	
(11, 30, 27, 17)	1	2	1	
(30, 23, 30, 1)	22	8	-14	
(3, 30, 18, 21)	1	2	1	
(21, 30, 23, 7)	0	1	1	
(30, 21)	59380	59610	230	
(3, 30, 27, 30)	239	230	-9	
(0, 17, 18, 30)	0	1	1	
(30, 15, 30, 27)	3	4	1	
(0, 30, 27, 3)	2	15	13	
(4, 30, 7, 12)	1	1	0	
(10, 17, 2, 30)	1	0	-1	
(5, 15, 21, 30)	2	0	-2	
(30, 2, 21, 14)	0	3	3	
(18, 7, 11)	1	1	0	
(30, 24, 30, 6)	12	10	-2	
(17, 18, 0, 21)	2	0	-2	
(17, 2, 19)	1	0	-1	
(7, 13, 21, 30)	0	1	1	
(6, 30, 7, 19)	1	0	-1	
(27, 22, 30, 22)	0	1	1	
(7, 30, 18, 11)	2	6	4	
(0, 25, 30, 25)	0	2	2	
(17, 19, 21, 17)	0	1	1	
(19, 3, 30, 19)	0	1	1	
(21, 30, 12, 7)	31	23	-8	
(21, 0, 21, 30)	14	21	7	
(5, 12)	51	50	-1	
(0, 18, 0, 4)	0	1	1	
(16, 30, 1)	4	0	-4	
(12, 15, 30, 2)	0	1	1	
(18, 24)	3	3	0	
(11, 30, 12, 15)	1	0	-1	
(26, 13, 30)	0	1	1	
(16, 23, 30, 1)	1	0	-1	
(30, 28, 19, 17)	1	0	-1	
(3, 30, 3, 19)	1	3	2	
(30, 21, 12, 19)	1	0	-1	
(21, 30, 5, 23)	1	1	0	
(8, 26, 30, 26)	0	1	1	
(2, 3, 21)	1	0	-1	
(12, 4, 30, 1)	1	0	-1	
(30, 21, 15, 21)	1	1	0	
(30, 27, 5, 30)	2	3	1	
(1, 30, 21, 11)	1	1	0	
(4, 17, 30, 25)	25	35	10	
(22, 17, 0, 30)	1	2	1	
(5, 17, 30, 7)	2	0	-2	
(0, 30, 25, 0)	2	7	5	
(2, 21, 30, 25)	6	5	-1	
(19, 21, 6)	0	1	1	
(3, 30, 28, 3)	0	1	1	
(25, 21, 5, 30)	2	3	1	
(6, 30, 21, 3)	2	1	-1	
(8, 30, 12, 25)	2	0	-2	
(26, 21, 30, 19)	1	3	2	
(0, 30, 21, 21)	35	56	21	
(20, 5, 30)	1	0	-1	
(30, 25, 30, 24)	20	26	6	
(4, 12, 1)	14	3	-11	
(18, 7, 30, 1)	7	1	-6	
(21, 30, 14, 4)	6	11	5	
(7, 30, 10, 30)	45	52	7	
(8, 30, 27, 8)	1	0	-1	
(30, 7, 21, 12)	12	3	-9	
(11, 3, 27)	1	0	-1	
(22, 30, 1, 10)	0	1	1	
(22, 30, 4)	234	326	92	
(1, 5, 30, 21)	2	2	0	
(22, 21, 4)	1	0	-1	
(3, 30, 21, 11)	3	2	-1	
(21, 30, 18, 17)	1	6	5	
(21, 24, 12)	1	0	-1	
(4, 17, 19)	8	5	-3	
(19, 30, 28)	47	41	-6	
(3, 30, 1, 30)	772	144	-628	
(7, 17, 4, 30)	0	2	2	
(11, 30, 5)	42	32	-10	
(11, 21, 30, 4)	3	10	7	
(21, 30, 7, 18)	1	2	1	
(8, 30, 18, 18)	1	1	0	
(22, 24, 30, 3)	0	1	1	
(30, 4, 30)	20277	17712	-2565	
(1, 4, 30, 10)	6	1	-5	
(4, 6, 30, 0)	1	0	-1	
(6, 30, 27, 27)	0	1	1	
(18, 21, 12, 17)	1	0	-1	
(30, 19, 12, 17)	3	1	-2	
(22, 4, 17, 30)	0	1	1	
(30, 8, 26, 21)	1	0	-1	
(13, 13, 17)	0	1	1	
(19, 30, 25, 17)	3	6	3	
(18, 7, 4)	34	33	-1	
(17, 30, 2, 16)	0	2	2	
(22, 12, 1, 21)	1	0	-1	
(15, 10)	2	1	-1	
(18, 8, 30, 1)	1	0	-1	
(2, 21, 21, 0)	0	1	1	
(24, 30, 17)	105	124	19	
(3, 30, 19, 30)	341	346	5	
(21, 30, 20, 30)	39	27	-12	
(16, 30, 8)	12	6	-6	
(15, 14, 30, 21)	0	1	1	
(21, 3, 2)	0	1	1	
(26, 30, 3, 18)	2	1	-1	
(17, 12, 18, 0)	3	2	-1	
(17, 30, 7, 5)	2	5	3	
(16, 27, 30)	1	0	-1	
(3, 23, 30, 3)	2	1	-1	
(6, 18, 5)	1	0	-1	
(0, 30, 9, 21)	3	6	3	
(0, 19, 30, 21)	4	16	12	
(21, 30, 17, 1)	116	23	-93	
(0, 5, 30)	42	41	-1	
(2, 21, 30, 12)	30	10	-20	
(12, 25, 30, 24)	1	0	-1	
(0, 0, 30, 4)	0	1	1	
(6, 30, 17, 1)	5	3	-2	
(12, 1, 30, 2)	6	1	-5	
(17, 30, 12, 17)	21	23	2	
(12, 30, 10, 21)	11	15	4	
(4, 30, 3, 25)	2	2	0	
(21, 30, 2, 30)	1027	852	-175	
(8, 4, 30, 26)	0	1	1	
(21, 12, 21, 0)	3	3	0	
(25, 14, 30, 19)	0	1	1	
(11, 3, 18)	0	1	1	
(30, 21, 0, 24)	3	0	-3	
(30, 25, 6, 3)	0	4	4	
(7, 16)	2	2	0	
(25, 0, 1)	1	0	-1	
(3, 30, 17, 13)	5	9	4	
(6, 30, 24, 25)	0	1	1	
(30, 2, 2, 21)	4	21	17	
(30, 16, 23, 21)	3	3	0	
(19, 30, 21)	933	900	-33	
(27, 30, 21, 7)	1	0	-1	
(10, 17, 2)	1	0	-1	
(17, 30, 1, 12)	1	1	0	
(18, 21, 30, 7)	2	0	-2	
(22, 4, 30, 25)	1	0	-1	
(21, 30, 15, 11)	1	2	1	
(2, 3, 3, 30)	0	1	1	
(3, 30, 22, 26)	0	2	2	
(6, 30, 19, 2)	1	0	-1	
(4, 4, 2)	1	1	0	
(19, 30, 21, 19)	3	2	-1	
(0, 0, 4, 30)	2	0	-2	
(4, 17, 3, 30)	1	2	1	
(7, 7, 30, 3)	3	7	4	
(8, 3, 30, 10)	1	0	-1	
(26, 30, 0, 2)	1	2	1	
(30, 21, 18, 28)	0	1	1	
(21, 30, 4, 3)	6	4	-2	
(30, 3, 17, 16)	0	2	2	
(30, 11, 21, 2)	1	0	-1	
(30, 15, 15, 15)	1	1	0	
(24, 30, 8)	9	7	-2	
(17, 19, 17, 30)	1	1	0	
(21, 18, 30, 13)	1	4	3	
(16, 30, 19)	0	1	1	
(7, 30, 0, 2)	6	4	-2	
(21, 3, 9)	0	1	1	
(30, 25, 8, 21)	1	0	-1	
(21, 5, 30, 4)	6	5	-1	
(27, 30, 19, 2)	1	0	-1	
(30, 12, 27, 3)	2	0	-2	
(14, 25, 30, 17)	1	0	-1	
(30, 28, 30, 22)	6	9	3	
(17, 12, 30, 6)	5	1	-4	
(21, 18, 11, 30)	4	1	-3	
(27, 21, 21, 30)	1	2	1	
(12, 30, 7, 11)	0	1	1	
(30, 19, 30, 7)	165	213	48	
(19, 17, 12, 30)	0	1	1	
(3, 5, 25, 30)	1	0	-1	
(21, 30, 1, 22)	7	3	-4	
(30, 11, 30, 9)	3	14	11	
(30, 21, 3, 4)	1	0	-1	
(4, 17, 17, 30)	3	0	-3	
(1, 4, 4, 30)	19	1	-18	
(0, 25, 17, 30)	0	1	1	
(3, 21, 18)	13	19	6	
(14, 21, 17, 0)	0	1	1	
(30, 20, 30, 0)	11	6	-5	
(14, 1, 27, 30)	1	1	0	
(19, 2, 17, 30)	1	1	0	
(3, 12, 17, 30)	5	4	-1	
(3, 22, 4, 30)	1	0	-1	
(7, 7, 28, 30)	0	1	1	
(25, 21, 30)	298	363	65	
(1, 10)	11	3	-8	
(0, 5, 30, 7)	0	1	1	
(1, 4, 17, 1)	7	0	-7	
(3, 1, 30, 3)	4	1	-3	
(21, 30, 6, 0)	1	2	1	
(7, 30, 18, 18)	3	1	-2	
(12, 6, 5)	1	0	-1	
(1, 30, 22, 4)	1	1	0	
(10, 12, 21)	1	1	0	
(8, 9, 30, 21)	0	1	1	
(19, 30, 10)	84	74	-10	
(3, 30, 25, 18)	3	6	3	
(27, 30, 17, 1)	3	0	-3	
(11, 30, 19)	36	40	4	
(3, 5, 15, 30)	0	1	1	
(21, 4, 30, 22)	1	1	0	
(3, 17, 30)	1276	1315	39	
(9, 30, 4, 12)	0	1	1	
(9, 2, 30, 3)	0	2	2	
(12, 8, 30, 7)	0	2	2	
(30, 21, 21, 16)	0	1	1	
(19, 13, 30)	0	1	1	
(19, 22)	1	2	1	
(1, 4, 22, 30)	3	0	-3	
(8, 14, 30, 18)	1	0	-1	
(21, 18, 1, 4)	3	0	-3	
(21, 30, 3, 21)	516	465	-51	
(5, 21, 30, 25)	7	14	7	
(30, 17, 3, 2)	1	1	0	
(30, 21, 1, 7)	1	0	-1	
(3, 12, 7, 30)	3	2	-1	
(3, 22, 22, 30)	1	0	-1	
(16, 30, 13, 30)	1	0	-1	
(17, 19, 30, 22)	1	0	-1	
(5, 7, 17)	1	0	-1	
(30, 8, 18, 17)	1	0	-1	
(18, 7, 4, 17)	2	0	-2	
(17, 30, 10, 12)	0	2	2	
(2, 30, 9)	25	35	10	
(30, 12, 28, 21)	0	1	1	
(1, 30, 4, 16)	1	0	-1	
(30, 2, 21, 21)	5	6	1	
(17, 30, 6, 25)	2	2	0	
(19, 21, 17)	9	6	-3	
(10, 3, 21, 17)	1	0	-1	
(30, 11, 22)	5	2	-3	
(24, 30, 3)	129	134	5	
(4, 30, 9, 1)	1	0	-1	
(7, 2, 30, 0)	0	1	1	
(16, 30, 26)	0	1	1	
(7, 30, 4, 12)	1	1	0	
(18, 4, 30, 0)	0	2	2	
(30, 20, 10)	1	0	-1	
(5, 12, 17)	1	1	0	
(7, 17, 30, 25)	3	3	0	
(8, 21, 30, 0)	3	2	-1	
(12, 15, 30, 25)	3	1	-2	
(2, 0, 2, 0)	1	0	-1	
(17, 30, 15, 1)	1	0	-1	
(30, 25, 17, 8)	0	1	1	
(4, 30, 0, 9)	3	1	-2	
(21, 30, 5, 12)	9	14	5	
(21, 0, 30, 27)	2	4	2	
(28, 10, 30, 12)	0	1	1	
(30, 17, 1, 1)	6	0	-6	
(30, 19, 22, 30)	0	1	1	
(21, 24, 30, 17)	1	2	1	
(23, 2, 30)	0	1	1	
(5, 17, 30, 28)	1	3	2	
(7, 30, 1, 17)	1	0	-1	
(11, 12)	4	8	4	
(17, 0, 1, 3)	1	0	-1	
